p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
10313870,Nad Al Shiba First,172-,,,,,,,,,,,,,,2793.64,6184117,Meydan,,Public Facilities
10313872,Nad Al Shiba First,173-,,,,,,,,,,,,,,2793.71,6187563,Meydan,,Public Facilities
10313874,Nad Al Shiba First,174-,,,,,,,,,,,,,,1622.71,6189061,Meydan,THE POLO RESIDENCE,Public Facilities
10313876,Nad Al Shiba First,175-,,,,,,,,,,,,,,1703.06,6189003,Meydan,,Public Facilities
10313878,Nad Al Shiba First,176-,,,,,,,,,,,,,,1851.07,6188989,Meydan,,Public Facilities
10313880,Nad Al Shiba First,177-,,,,,,,,,,,,,,1851.07,6188988,Meydan,,Public Facilities
10313882,Nad Al Shiba First,178-,,,,,,,,,,,,,,1857.69,6189065,Meydan,THE POLO RESIDENCE,Public Facilities
10313884,Nad Al Shiba First,179-,,,,,,,,,,,,,,1858.0,6189027,Meydan,,Public Facilities
10313886,Nad Al Shiba First,180-,,,,,,,,,,,,,,1858.01,6189135,Meydan,THE POLO RESIDENCE,Public Facilities
10313888,Nad Al Shiba First,181-,,,,,,,,,,,,,,1858.02,6189063,Meydan,THE POLO RESIDENCE,Public Facilities
10313890,Nad Al Shiba First,182-,,,,,,,,,,,,,,1858.02,6189023,Meydan,,Public Facilities
10313892,Nad Al Shiba First,183-,,,,,,,,,,,,,,1858.02,6188947,Meydan,,Public Facilities
10313894,Nad Al Shiba First,184-,,,,,,,,,,,,,,1858.02,6189137,Meydan,THE POLO RESIDENCE,Public Facilities
10313896,Nad Al Shiba First,185-,,,,,,,,,,,,,,1858.02,6189015,Meydan,THE POLO RESIDENCE,Public Facilities
10313898,Nad Al Shiba First,186-,,,,,,,,,,,,,,1858.02,6189013,Meydan,THE POLO RESIDENCE,Public Facilities
10313900,Nad Al Shiba First,187-,,,,,,,,,,,,,,1858.03,6188950,Meydan,,Public Facilities
10313902,Nad Al Shiba First,188-,,,,,,,,,,,,,,1858.03,6189068,Meydan,THE POLO RESIDENCE,Public Facilities
10313904,Nad Al Shiba First,189-,,,,,,,,,,,,,,1858.03,6189030,Meydan,,Public Facilities
10313906,Nad Al Shiba First,190-,,,,,,,,,,,,,,1858.03,6189017,Meydan,,Public Facilities
10313908,Nad Al Shiba First,191-,,,,,,,,,,,,,,1858.04,6189069,Meydan,THE POLO RESIDENCE,Public Facilities
10318276,Nad Al Shiba First,192-,,,,,,,,,,,,,,2352.01,6189858,Meydan,,Public Facilities
10318278,Nad Al Shiba First,193-,,,,,,,,,,,,,,2474.99,6189812,Meydan,,Public Facilities
10318280,Nad Al Shiba First,194-,,MGV-A06,,,,,,,,,,,,2841.86,6189847,Meydan,,Public Facilities
